rule_id;theme;subtheme;service_context;clause_pattern;decision_class;risk_level;playbook_id;standard_position;preferred_counterproposal;bidder_questions;security_rationale;evidence_markers;safe_markers;scope_notes;owner;status;review_needed;last_reviewed;notes
AUD-011;audit_rights;controlled_third_party_audit;generic_it_outsourcing;Drittaudits sind zulaessig, wenn der Dritte schriftlich mandatiert und zur Vertraulichkeit verpflichtet ist.;acceptable;low;PB-AUDIT-002;Drittaudits sind zulaessig, wenn der Dritte schriftlich durch den Auftraggeber beauftragt ist, zur Vertraulichkeit bzw. gesetzlichen Verschwiegenheit verpflichtet ist (bevorzugt Wirtschaftspruefer oder gesetzlich zur Verschwiegenheit verpflichtete Personen) und die Durchfuehrung unter Mandantenschutz sowie in Koordination mit dem Auftragnehmer erfolgt.;Kontrollierter Drittaudit ist der Regelfall - Mandat, Vertraulichkeit, Mandantenschutz und Koordination sicherstellen.;Ist der Dritte mandatiert? Besteht Vertraulichkeitsverpflichtung? Ist die Durchfuehrung koordiniert?;"Kontrollierter Drittaudit ist gaengige Praxis regulierter Kunden; durch Mandat und Vertraulichkeitsverpflichtung ist das InfoSec-Risiko beherrschbar.";;"schriftliches mandat; wirtschaftspruefer; zur verschwiegenheit verpflichtet; mandantenschutz; koordination mit auftragnehmer";Positive Variante zu AUD-008 - darf NICHT als Risiko eskalieren.;InfoSec;approved;no;2026-04-23;Splitting v1.3 - kontrollierter Fall erhaelt eigene Zeile.
INC-001;incident_reporting;event_threshold;generic_it_outsourcing;Meldepflicht fuer jedes Security-Event ohne Schwellenwert, inkl. Verdachtsfaelle und Near-Misses.;high_risk;high;PB-INC-002;Meldepflicht fuer bestaetigte Sicherheitsvorfaelle mit Auswirkung auf den Auftraggeber, dessen Service oder dessen Daten. Interne Events ohne Kundenbezug werden intern bearbeitet.;"Meldepflicht fuer bestaetigte Vorfaelle mit Kunden-/Service-/Datenbezug; Definition 'Vorfall' vs. 'Event'; Near-Misses nur auf Anfrage.";Gibt es einen Schwellenwert? Wie wird zwischen Event und meldepflichtigem Vorfall unterschieden?;Blanket-Meldung ohne Triage erzeugt Informationsflut. Andere Kunden / interne Themen ohne Kundenimpact duerfen nicht offengelegt werden.;"jedes security-event; unabhaengig von der schwere; verdachtsfaelle; near-misses; ohne schwellenwert";"bestaetigte vorfaelle; mit auswirkung auf; materielle vorfaelle; nach bewertung durch auftragnehmer";;InfoSec;approved;no;2026-04-23;
INC-002;incident_reporting;regulatory_notification;generic_it_outsourcing;Regulatorische Meldepflichten gegenueber Aufsichtsbehoerden werden an den Auftragnehmer durchgereicht.;high_risk;high;PB-INC-003;"Auftragnehmer unterstuetzt den Auftraggeber bei dessen Meldepflichten durch zeitnahe Informationsbereitstellung; die Meldepflicht selbst verbleibt beim regulierten Unternehmen.";"Unterstuetzungspflicht statt Meldepflicht; klare Abstimmungspflicht fuer etwaige eigene Meldungen des Auftragnehmers (z. B. Art. 33 DSGVO).";Soll der Auftragnehmer selbst gegenueber Behoerden meldepflichtig sein?;Durchreichen regulatorischer Meldeverpflichtungen ist aufsichtsrechtlich nicht vorgesehen - melden kann nur das regulierte Unternehmen.;"regulatorische meldepflichten; auftragnehmer meldet; dora/nis2/marisk durchgereicht";"unterstuetzt den auftraggeber; bereitstellung der informationen; meldepflicht verbleibt beim auftraggeber";;Legal;approved;no;2026-04-23;
INC-003;incident_reporting;notification_deadlines;generic_it_outsourcing;Unrealistisch kurze Meldefristen (z. B. 15 bis 30 Minuten nach Kenntniserlangung).;high_risk;high;;Meldefristen muessen Erkennung und qualifizierte Erstbewertung ermoeglichen. Standardposition: Meldung relevanter Vorfaelle nach Erkennung und qualifizierter Erstbewertung, grundsaetzlich innerhalb von 72 Stunden, soweit keine regulatorisch engere Frist anwendbar ist.;"Erstmeldung nach Erkennung und qualifizierter Erstbewertung, grundsaetzlich innerhalb von 72 Stunden; regulatorisch engere Fristen (DORA 24h, NIS2) bleiben vorrangig.";Wie lange dauert Erkennung und Erstbewertung? Welche regulatorischen Fristen gelten fuer den Auftraggeber?;"Zu kurze Fristen erzwingen Meldungen vor qualifizierter Bewertung; Resultat: Fehlmeldungen, Over-Reporting.";"innerhalb von 15 minuten; 30 minuten nach kenntnis; unverzueglich ohne bewertung";"nach erkennung und qualifizierter erstbewertung; grundsaetzlich innerhalb von 72 stunden; nach triage";Regulatorisch engere Fristen (DORA 24h, MaRisk, NIS2) gehen vor.;InfoSec;approved;no;2026-04-23;Standardposition: nach qualifizierter Erstbewertung, grundsaetzlich <=72h.
INC-004;incident_reporting;pre_disclosure_approval;generic_it_outsourcing;Vorab-Abstimmung eigener Meldungen des Auftragnehmers gegenueber Behoerden.;acceptable;low;;Standardposition: Abstimmung vorab, soweit rechtlich moeglich.;Keine Gegenforderung noetig.;;Vermeidet widerspruechliche Behoerdenkommunikation.;;"stimmt meldung vorab ab; abstimmung mit auftraggeber; koordinierte kommunikation";;Legal;approved;no;2026-04-23;
INC-005;incident_reporting;root_cause_reporting;generic_it_outsourcing;Abschlussbericht mit Root-Cause-Analyse nach bestaetigtem, meldepflichtigem Vorfall.;acceptable;low;;Standard: Abschlussbericht fuer relevante meldepflichtige Vorfaelle innerhalb 10 Werktage nach Abschluss der Sofortmassnahmen.;Sofern enger gefordert: nach Vorfallart und -schwere differenzieren.;Welche Frist ist zwingend, welche nach Aufwand?;RCA ist Standard guter Vorfallsbehandlung und Grundlage fuer Lessons Learned.;;"abschlussbericht; root-cause-analyse; rca; innerhalb zehn werktagen; meldepflichtiger vorfall";;InfoSec;approved;no;2026-04-23;
INC-006;incident_reporting;notification_deadlines;cloud_saas;SaaS-Anbieter akzeptiert keine Meldefrist, sondern verweist auf Statuspage.;high_risk;high;;"Vertragliche Meldefrist plus Statuspage als Kommunikationskanal; nicht alternativ.";"Vertragliche Zusage Erstmeldung innerhalb klarer Frist an benannte Kontaktstelle; Statuspage zusaetzlich.";Gibt es neben der Statuspage einen zugesicherten Kommunikationskanal?;Statuspage ersetzt keine vertragliche Meldepflicht.;"nur statuspage; keine individuelle meldung; passive kommunikation";"benannte kontaktstelle; vertragliche meldefrist";;InfoSec;review;yes;2026-04-23;SaaS-Spezifikum.
INC-007;incident_reporting;event_threshold;security_service;SIEM-/SOC-Events werden ungefiltert weitergeleitet.;high_risk;high;;"SOC-Service liefert klassifizierte/triagierte Alerts; keine Weiterleitung roher Events.";"Alert-Taxonomie definieren; Severity-Matrix; Kontakt-/Eskalationspfade.";Wer triagiert vor Weitergabe? Welche Severity-Matrix gilt?;Ungefilterte Event-Weitergabe ist keine Security-Service-Leistung, sondern Logshipping.;"ungefiltert; alle events weiterleiten; ohne triage";"klassifizierung; severity-matrix; triage im soc";;InfoSec;approved;no;2026-04-23;
INC-008;incident_reporting;incident_support_model;generic_it_outsourcing;Auftragnehmer unterstuetzt den Auftraggeber kostenfrei bei der Bewaeltigung von Sicherheitsvorfaellen (Pauschalklausel).;high_risk;high;;"Unterstuetzung erfolgt im Rahmen der Serviceverpflichtung: Bei vom Auftragnehmer zu vertretenden Vorfaellen (eigener Verantwortungs-/Verschuldensbereich) kostenfrei; bei Vorfaellen ausserhalb des Einflussbereichs nach vereinbarten Saetzen.";"Unterstuetzung im Rahmen der Serviceverpflichtung; bei eigenem Verschulden kostenfrei; ausserhalb Einflussbereich nach Aufwand.";Ist die Unterstuetzung auf vom Auftragnehmer zu vertretende Vorfaelle begrenzt? Wie wird Verguetung bei Vorfaellen ausserhalb Einflussbereich geregelt?;Pauschale kostenfreie Unterstuetzungspflicht ohne Kausalitaets-/Einflussbereichspruefung erzeugt offenes Kostenrisiko.;"kostenfrei; pauschal; in jedem fall; unbegrenzte unterstuetzung; alle sicherheitsvorfaelle";"im rahmen der serviceverpflichtung; bei eigenem verschulden; nach aufwand; einflussbereich";;InfoSec;approved;no;2026-04-23;Kausalitaets-/Einflussbereichspruefung zentral.
INC-009;incident_reporting;incident_information_disclosure;generic_it_outsourcing;Auftragnehmer stellt alle Informationen zum Sicherheitsvorfall zur Verfuegung (Pauschalklausel).;high_risk;high;;Informationen werden insoweit bereitgestellt, als sie fuer die Bewertung und Bearbeitung des konkreten Vorfalls durch den Auftraggeber erforderlich sind. Ein konkreter Bezug zwischen Information und Vorfall muss gegeben sein.;"Informationsbereitstellung auf konkreten Bearbeitungsbedarf begrenzen; zweckgebunden, strukturiert, unter Wahrung des Mandantenschutzes.";Welche Informationen sind fuer die Vorfallsbearbeitung konkret erforderlich? Wie wird Mandantenschutz sichergestellt?;Pauschale Herausgabeansprueche koennen Informationen Dritter, interne Diagnosedaten und andere Kundenbezuege offenlegen.;"alle informationen; saemtliche daten; vollstaendige offenlegung; pauschale herausgabe";"insoweit erforderlich; konkreter bezug; zweckgebunden; mandantenschutz";;InfoSec;approved;no;2026-04-23;Konkreter Bezug zur Vorfallsbearbeitung zentral.
BCM-001;bcm_resilience;provider_bcms_baseline;generic_it_outsourcing;Der Auftragnehmer weist eigene BCM-/Resilience-Faehigkeit fuer die eigene Leistungserbringung nach.;acceptable;low;;Nachweis der BCM-/Resilience-Faehigkeit des Auftragnehmers fuer die eigene Leistungserbringung erfolgt ueber die Zertifizierung nach ISO 22301 (bei uns als integriertes Modul der ISO 27001-Zertifizierung).;Nachweis eigener BCM-Faehigkeit ueber ISO 22301 (integriertes Modul der ISO 27001-Zertifizierung).;Welcher Nachweis ist gefordert? Reicht ISO 22301 als Modul der ISO 27001?;Klarer Zertifikatsnachweis verhindert Diskussionen um 'Angemessenheit' und individuelle Nachweispflichten.;"angemessenes bcms ohne konkretisierung; individuelle bcm-konzepte gefordert";"iso 22301; integriert in iso 27001; zertifikatsnachweis; eigene leistungserbringung";Bezieht sich ausschliesslich auf das interne BCMS des Auftragnehmers.;InfoSec;approved;yes;2026-04-23;BCM-Grundsatz: ISO 22301 als Referenz, keine 'Angemessenheit' diskutieren.
BCM-002;bcm_resilience;customer_environment_bcm_scope;generic_it_outsourcing;Uebernahme der BCM-/Continuity-Verantwortung fuer die gesamte Kundenumgebung durch den Auftragnehmer.;high_risk;high;;Der Auftragnehmer uebernimmt keine BCM-/Continuity-Verantwortung fuer die gesamte Kundenumgebung. BCM-Verantwortung des Auftragnehmers ist auf den eigenen Leistungsgegenstand und die eigene Leistungserbringung begrenzt.;"BCM-Verantwortung ausdruecklich auf eigene Leistungserbringung begrenzen; keine Gesamtverantwortung fuer Kundenumgebung.";Wird BCM-Verantwortung fuer die Kundenumgebung gefordert? Ist die Verantwortungsgrenze klar beschrieben?;Pauschale BCM-Gesamtverantwortung fuer eine Kundenumgebung ist ausserhalb des Steuerbereichs und erzeugt nicht beherrschbares Haftungsrisiko.;"bcm fuer kundenumgebung; gesamte kundenumgebung; vollumfaengliche continuity; pauschale bcm-verantwortung";"begrenzt auf eigene leistungserbringung; im rahmen des leistungsgegenstands";Serviceuebergreifend gueltig.;InfoSec;approved;yes;2026-04-23;Neu in v1.3: Klare Abgrenzung Provider-BCM vs. Kundenumgebung.
BCM-003;bcm_resilience;customer_specific_bcm;generic_it_outsourcing;Erstellung, Uebungen und Weiterentwicklung eines kundenspezifischen BCM-/DR-Konzepts durch den Auftragnehmer (pauschal und ohne Scope).;high_risk;high;;Kundenspezifische BCM-/SCM-Leistungen (BIA, Recovery-Konzept, gemeinsame Uebungen, Tests auf Kundenprozesse, Weiterentwicklung) sind keine Standardleistung. Erbringung durch Consultants, separate Beauftragung und Verguetung.;"Kundenspezifisches BCM-Konzept, BIA, Uebungen, DR-Tests und Weiterentwicklung als Zusatzleistungen; separate Leistungsbeschreibung.";Welche kundenspezifischen BCM-Leistungen werden gefordert? Sind diese in der Leistungsbeschreibung enthalten?;Pauschale Uebernahme kundenspezifischer BCM-Pflichten ohne Scope und Verguetung erzeugt unkalkulierbaren Consulting-Aufwand. Bei klar definiertem Scope: verhandelbar.;"bcm-konzept pauschal; bia pauschal; recovery-plan; kundenspezifische uebungen; dr-tests; weiterentwicklung; ohne scope";"zusatzleistung; separate leistungsbeschreibung; consultants; beauftragt und verguetet; klar definierter scope";Serviceuebergreifend gueltig.;InfoSec;approved;yes;2026-04-23;Signal an Solution Design/Vertrieb: keine Standard-Inklusivleistung.
BCM-004;bcm_resilience;sla_suspension_dr;generic_it_outsourcing;"SLAs gelten uneingeschraenkt auch waehrend DR-/BCM-Massnahmen; Aussetzung ausgeschlossen.";no_go;critical;PB-SLA-003;"Im ausgerufenen DR-/BCM-Fall werden SLA-Verpflichtungen fuer Dauer des Notfallbetriebs ausgesetzt; Benachrichtigung des Auftraggebers unverzueglich.";"Explizite SLA-Suspension bei DR/BCM; Benachrichtigungspflicht; Definition fuer Wiederaufnahme.";Gibt es eine SLA-Suspension fuer DR/BCM? Wie wird ein DR-/BCM-Fall ausgerufen?;"Ohne Suspension drohen Vertragsstrafen mitten im Notfallbetrieb; widerspricht BCM-Grundprinzip.";"gelten uneingeschraenkt; keine aussetzung; aussetzung ausgeschlossen; bedarf schriftlicher zustimmung";"sla werden ausgesetzt im dr-fall; suspendierung bei bcm; notfallbetrieb";;InfoSec;approved;yes;2026-04-23;
BCM-005;bcm_resilience;maintenance_window_exclusion;generic_it_outsourcing;Geplante Wartungsfenster werden NICHT aus der Verfuegbarkeitsberechnung herausgerechnet.;high_risk;high;PB-SLA-001;Geplante, angekuendigte Wartungsfenster sind von der Verfuegbarkeitsberechnung ausgenommen.;Definierte Wartungsfenster explizit ausnehmen.;Wie werden Wartungsfenster angekuendigt und herausgerechnet?;"Ohne Ausnahme drohen SLA-Verletzungen durch normale Wartung; Fehlanreiz gegen Patching.";"nicht aus der berechnung herausgerechnet; werden einbezogen; keine ausnahme wartungsfenster";"aus der berechnung herausgerechnet; wartungsfenster sind ausgenommen; geplante wartung";;InfoSec;approved;yes;2026-04-23;
BCM-006;bcm_resilience;notfall_mitwirkung;generic_it_outsourcing;Umfassende Mitwirkungspflicht des Auftragnehmers im Notfall - auch ausserhalb des eigenen Verantwortungsbereichs.;negotiable;medium;;Der Auftragnehmer wirkt im Notfall servicebezogen mit (Lageupdates, Eskalationscalls, gemeinsame Abstimmung) im Rahmen seines eigenen Verantwortungs- und Einflussbereichs. Massnahmen ausserhalb des Verantwortungsbereichs des Auftragnehmers sind Zusatzleistungen oder erfolgen nach Aufwand.;"Mitwirkung im Rahmen des eigenen Verantwortungsbereichs; weitergehende Massnahmen als Zusatzleistung / nach Aufwand.";Welche Mitwirkung ist servicebezogen inkludiert? Welche Leistungen gehen ueber den Verantwortungsbereich hinaus?;Klare Abgrenzung des Verantwortungsbereichs verhindert unkalkulierbare Notfallverpflichtungen.;"umfassende mitwirkung; in jedem notfall; ohne scope; auch in verantwortungssphaere des auftraggebers";"im rahmen des eigenen verantwortungsbereichs; servicebezogene mitwirkung; lageupdates; eskalationscalls";;InfoSec;approved;yes;2026-04-23;Kundenkontext regelmaessig unterschiedlich.
CERT-001;certifications;iso_27001_evidence;generic_it_outsourcing;Nachweis ISO/IEC 27001 inkl. im Zertifikat erwaehnter Normbezuege (22301, 22313, 27005, 31000, 27017, 27018).;acceptable;low;;Standardposition. Der Auftragnehmer weist eine gueltige ISO/IEC 27001-Zertifizierung nach. Im Zertifikat werden ergaenzend die Normen ISO 22301, 22313, 27005, 31000, 27017, 27018 ausgewiesen.;Keine Gegenforderung noetig.;;Etabliertes ISMS mit integrierten BCM-, Risikomanagement- und Cloud-Modulen deckt den ueberwiegenden Nachweisbedarf.;;"iso 27001; iso 22301; iso 27017; iso 27018; iso 27005; zertifikatskopie; jaehrlicher nachweis";Keine high_risk-Eskalation.;InfoSec;approved;no;2026-04-23;
CERT-002;certifications;isae_3402_evidence;managed_service_hosting;Nachweis ISAE 3402 Type II AUSSCHLIESSLICH fuer Service Delivery im Managed Service Umfeld.;acceptable;low;;Der Auftragnehmer weist jaehrlich eine ISAE 3402 Type II-Testierung fuer den Bereich Service Delivery im Managed Service (Berichtszeitraum 1.1.-31.12.) nach. Der Scope umfasst AUSDRUECKLICH NICHT andere Geschaeftsbereiche (z. B. Consulting) oder andere Leistungsarten.;"Keine Gegenforderung noetig; Scope-Begrenzung (Managed Service Delivery) explizit dokumentieren. Kein genereller Servicequalitaetsnachweis.";Ist der Scope des ISAE 3402 Type II auf Managed Service Delivery begrenzt? Wird ein Bridge Letter benoetigt? Sollen andere Leistungsbereiche abgedeckt werden (nicht moeglich)?;ISAE 3402 Type II ist staerkster Nachweis der Wirksamkeit ausgewaehlter Kontrollen - ersetzt individuelle Wirksamkeitsnachweise im Scope-Bereich.;"isae 3402 type ii fuer gesamten dienstleister; isae fuer consulting; umfang nicht abgegrenzt; genereller nachweis aller leistungen";"isae 3402 type ii; service delivery managed service; berichtszeitraum 1.1. bis 31.12.; jaehrliche testierung; scope-begrenzung";Scope-Grenze (Managed Service Delivery) zentral - KEIN Nachweis fuer Consulting oder andere Bereiche.;InfoSec;approved;no;2026-04-23;Staerkster Nachweis fuer Kontrollwirksamkeit im Scope - Scope-Kommunikation kritisch.
